Name,Year
Edward H. Adelson,2018
Alberto Rodriguez,2018
Jun Shintake,2015
Bryan Edward Schubert,2015
Samuel Rosset,2015
Herbert Shea,2015
Dario Floreano,2015
Gregory Dudek,2005
Michael Jenkin,2005
Chris Prahacs,2005
Andrew Hogue,2005
Junaed Sattar,2005
Philippe Giguère,2005
Alexander J. German,2005
Hui Liu,2005
Shane Saunderson,2005
A. Ripsman,2005
Saul Simhon,2005
L.-A. Torres,2005
Evangelos E. Milios,2005
Peng Zhang,2005
I. Rekletis,2005
Rebecca K. Kramer,2011
Carmel Majidi,2011
Ranjana Sahai,2011
Robert J. Wood,2011
Yasumichi Aiyama,1993
Motoi Inaba,1993
Hiroshi Inoue,1993
Kazuhiro Kosuge,1996
Hideyuki Murayama,1996
K. Takeo,1996
Sylvain Calinon,2010
Irene Sardellitti,2010
Darwin G. Caldwell,2010
Vincenzo Lippiello,2012
Fabio Ruggiero,2012
Christian L. Nielsen,2000
Lydia E. Kavraki,2000
Horst-Michael Gross,2009
H. Boehme,2009
Ch. Schroeter,2009
S. Mueller,2009
Adriaan Koenig,2009
Erik Einhorn,2009
Ch. A. Martin,2009
Marc Merten,2009
Annette Bley,2009
Jonas Buchli,2009
Mrinal Kalakrishnan,2009
Michael Mistry,2009
Peter Pastor,2009
Stefan Schaal,2009
Lei Tai,2016
Shaohua Li,2016
Ming Li,2016
Elin Anna Topp,2005
Henrik I. Christensen,2005
Felix Huber,2013
Konstantin Kondak,2013
Kai Krieger,2013
Dominik Sommer,2013
Marc Schwarzbach,2013
Maximilian Laiacker,2013
Ingo Kossyk,2013
Sven Parusel,2013
Sami Haddadin,2013
Alin Albu-Schaffer,2013
Frank Röthling,2007
Robert Haschke,2007
Jochen J. Steil,2007
H. G. Ritter,2007
Stephen Nuske,2011
Supreeth Achar,2011
Terry Bates,2011
Srinivasa G. Narasimhan,2011
Sanjiv Singh,2011
Kai Xu,2009
Roger E. Goldman,2009
Jienan Ding,2009
Peter J. Allen,2009
Dennis Fowler,2009
Nabil Simaan,2009
Baris Akgun,2011
