Name,Year,Gender
Gerd Hirzinger,2001,M
Alin Albu-Schaffer,2001,M
M. Hähnle,2001,M
I. Schaefer,2001,M
N. Sporer,2001,M
J.A. Bagnell,2001,F
Jeff Schneider,2001,M
Alexander Hermans,2014,M
Georgios Floros,2014,M
Bastian Leibe,2014,M
Michael J. Bosse,2009,M
Robert Zlot,2009,M
Dmitry Berenson,2009,M
Siddhartha S. Srinivasa,2009,M
Dave Ferguson,2009,M
James J. Kuffner,2009,M
Noa Agmon,2008,M
Sarit Kraus,2008,M
Gal A. Kaminka,2008,F
S. Cameron,1997,M
Raphael Deimel,2013,M
Oliver Brock,2013,M
Julius Kammerl,2012,M
Nico Blodow,2012,M
Radu Bogdan Rusu,2012,M
Suat Gedikli,2012,M
Michael Beetz,2012,M
Eckehard Steinbach,2012,M
Evangelos Papadopoulos,1996,M
D.A. Rey,1996,F
Daniel Mellinger,2012,M
Alex Kushleyev,2012,M
Vijay Kumar,2012,M
J. Howard Pratt,1997,M
Peter P. Dilworth,1997,M
Gill A. Pratt,1997,M
Dustin J. Webb,2013,M
Jur van den Berg,2013,M
Niklas Karlsson,2005,M
E. Di Bernardo,2005,M
James Ostrowski,2005,M
Lino Gonçalves,2005,M
Paolo Pirjanian,2005,M
Mario E. Munich,2005,M
Dale Lawrence,1988,M
Lupashin,2010,M
Schöllig,2010,M
Sherback,2010,M
D'Andrea,2010,F
Daniel Kappler,2015,M
Jeannette Bohg,2015,F
Stefan Schaal,2015,M
Shin Kajita,2002,F
Fumio Kanehiro,2002,M
Katsumi Kaneko,2002,M
Koji Fujiwara,2002,F
Kazuhito Yokoi,2002,F
Hirohisa Hirukawa,2002,M
Albert Pumarola,2017,M
Alexander Vakhitov,2017,M
Antonio Agudo,2017,M
Alberto Sanfeliu,2017,M
Francese Moreno-Noguer,2017,M
F. Chenavier,1992,M
J. L. Crowley,1992,M
Slawomir Grzonka,2009,F
Giorgio Grisetti,2009,M
Wolfram Burgard,2009,M
Joydeep Biswas,2010,M
Manuela Veloso,2010,F
Dominik Honegger,2013,M
Lorenz Meier,2013,M
Petri Tanskanen,2013,M
Marc Pollefeys,2013,M
Jonathan H. Connell,1992,M
Ryo Kurazume,1994,F
Shigemi Nagata,1994,F
Shigeki Hirose,1994,F
Bastian Steder,2011,M
Radu Bogdan Rusu,2011,M
Kurt Konolige,2011,M
Wolfram Burgard,2011,M
Sven Koenig,2002,M
Maxim Likhachev,2002,M
E. Colgate,1989,M
Neville Hogan,1989,M
Donna L. Whitney,1985,F
Christian Plagemann,2010,M
Varun Ganapathi,2010,M
Daphne Koller,2010,F
Sebastian Thrun,2010,M
Andreas Nüchter,2004,M
Hartmut Surmann,2004,M
Kai Lingemann,2004,F
Joachim Hertzberg,2004,M
Sebastian Thrun,2004,M
Peter J. Henry,2010,M
Christian Vollmer,2010,M
Brian Ferris,2010,M
Dieter Fox,2010,M
Amit Bhatia,2010,F
Lydia E. Kavraki,2010,F
Moshe Y. Vardi,2010,M
Andrzej Pronobis,2012,M
Patric Jensfelt,2012,M
Janosch Nikolic,2014,M
Joern Rehder,2014,M
Michael Burri,2014,M
Pascal Gohl,2014,M
Stefan Leutenegger,2014,M
Paul Furgale,2014,M
Roland Siegwart,2014,M
Paul Fitzpatrick,2003,M
Giorgio Metta,2003,F
Lorenzo Natale,2003,M
S. Venugopal Rao,2003,M
Giulio Sandini,2003,M
Peter Corke,2004,M
Stefan Hrabar,2004,M
R. J. Peterson,2004,M
Daniela Rus,2004,M
Srikanth Saripalli,2004,M
Gaurav S. Sukhatme,2004,M
James J. Kuffner,2004,M
Shane A. Migliore,2005,F
E.A. Brown,2005,F
Stephen P. DeWeerth,2005,M
Sundaram Ganapathy,1984,M
Jong-Kyu Park,1998,M
Ki Wook Kim,1998,M
J. Barraquand,1990,M
Jean-Claude Latombe,1990,F
Klaas Klasing,2009,M
Daniel Althoff,2009,M
Dirk Wollherr,2009,M
Martin Buss,2009,M
Coline Devin,2017,F
Abhishek Gupta,2017,M
Trevor Darrell,2017,M
Pieter Abbeel,2017,M
Sergey Levine,2017,M
Toshio Fukuda,1990,M
Y. Kawauchi,1990,M
Evangelos A. Theodorou,2010,M
Jonas Buchli,2010,M
Stefan Schaal,2010,M
Tsuneo Yoshikawa,1985,F
A. Goswami,1996,F
Bernard Espiau,1996,M
A. Keramane,1996,F
C.W. Warren,1989,M
Nicholas Ayache,1989,M
Olivier Faugeras,1989,M
Cory D. Kidd,2006,M
Will Taggart,2006,M
Sherry Turkle,2006,F
Caroline Gosselin,1994,F
J.-F. Hamel,1994,M
Seiji Kawamura,1995,F
