Name,Year,Gender
Mardavij Roozbehani,2010,M
Munther A. Dahleh,2010,F
Sanjoy K. Mitter,2010,M
Anders Stenman,1996,M
Finn Gustafsson,1996,M
Lennart Ljung,1996,M
Eric W. Justh,2005,M
Perinkulam S. Krishnaprasad,2005,M
Piyush Gupta,1997,M
P. Senthil Kumar,1997,M
Robin M. Murray,1991,M
S. Shankar Sastry,1991,M
Hongyi Li,2006,F
Katsuhisa Furuta,2006,F
F.L. Chernousko,2006,M
Michael Rotkowitz,2002,M
Sanjay Lall,2002,M
Minsong Cao,2005,M
Daniel A. Spielman,2005,M
A.S. Morse,2005,F
Usman A. Khan,2010,M
Soummya Kar,2010,F
Ali Jadbabaie,2010,F
Jose M. F. Moura,2010,M
Graeme Stewart,2008,M
Francesco Borrelli,2008,M
Riccardo Marino,1990,M
Sergei Peresada,1990,F
Paolo Valigi,1990,M
Mustapha Ait Rami,2006,M
Fernando Tadeo,2006,M
Pontus Giselsson,2010,M
Anders Rantzer,2010,M
Milos Zefran,2001,M
Francesco Bullo,2001,M
M. Stein,2001,M
B. de Jager,1995,M
Tarek Abdelzaher,2000,M
Chenyang Lu,2000,M
Philip D. Parker,1987,M
Robert R. Bitmead,1987,M
Yun Huang,1996,M
Wei-Min Lu,1996,M
Antonis Papachristodoulou,2005,M
Ali Jadbabaie,2005,F
A. Kurita,1988,F
T. Sakurai,1988,M
B. Van Roy,1997,M
Dimitri P. Bertsekas,1997,M
Y. Lee,1997,F
John N. Tsitsiklis,1997,M
Qiang Ling,2002,F
Michael D. Lemmon,2002,M
Reza Olfati-Saber,2002,F
Richard M. Murray,2002,M
John Doyle,1978,M
Ermin Wei,2010,M
Asuman Ozdaglar,2010,F
Ali Jadbabaie,2010,F
Sekhar Tatikonda,1998,F
Amit Sahai,1998,F
Sanjoy K. Mitter,1998,M
Jason L. Speyer,1992,M
Cody Fan,1992,M
Ravi N. Banavar,1992,M
R.M. Sanner,1991,M
Jean-Jacques E. Slotine,1991,F
Shicong Dai,2014,M
Taeyoung Lee,2014,F
Dennis S. Bernstein,2014,M
Zhipu Jin,2006,M
Richard M. Murray,2006,M
Albert Y. S. Lam,2012,M
Baosen Zhang,2012,M
David Tse,2012,M
John-Morten Godhavn,1996,M
Tolga Eren,2002,M
Peter N. Belhumeur,2002,M
A.S. Morse,2002,F
Ioannis Kanellakopoulos,1991,F
Petar V. Kokotovic,1991,M
A.S. Morse,1991,F
F. Pasqualetti,2007,M
Antonio Bicchi,2007,M
Francesco Bullo,2007,M
Christopher Amato,2013,M
Girish Chowdhary,2013,M
Alborz Geramifard,2013,M
N. Kemal Ure,2013,M
Mykel J. Kochenderfer,2013,M
Alberto Isidori,1986,M
Claude H. Moog,1986,M
Alessandro De Luca,1986,M
C. Carbone,2006,M
U. Ciniglio,2006,M
Federico Corraro,2006,M
Salvatore Luongo,2006,M
Ian Dobson,1988,M
H. C. Chiang,1988,M
James S. Thorp,1988,M
L. Fekih-Ahmed,1988,M
John Baillieul,2002,M
Amir Ali Ahmadi,2008,M
Pablo A. Parrilo,2008,F
Maben Rabi,2008,M
K. E. Johansson,2008,M
Mikael Johansson,2008,M
Somil Bansal,2016,M
Anayo K. Akametalu,2016,F
Frank Jiang,2016,M
Forrest Laine,2016,F
Claire J. Tomlin,2016,F
Tansu Alpcan,2001,M
Tamer Basar,2001,M
R. Srikant,2001,M
Erik R. Altman,2001,M
Lawrence I. Larkin,1984,M
Salvatore Monaco,1992,M
Dorothée Normand-Cyrot,1992,F
Maria M. Seron,2000,F
J.A. De Dona,2000,F
Guy M. Goodwin,2000,M
Saifon Chaturantabut,2009,M
Danny C. Sorensen,2009,M
Kim P. Wabersich,2018,M
Melanie N. Zeilinger,2018,F
D. de Roover,1996,M
Alina Eqtami,2011,F
Dimos V. Dimarogonas,2011,M
Kostas J. Kyriakopoulos,2011,M
Kevin R. Moore,2006,M
YangQuan Chen,2006,M
Hyo-Sung Ahn,2006,F
Dragan Nesic,2010,M
Y. H. Tan,2010,M
