Name,Year
Allan Kuchinsky,2000
Nina Bhatti,2000
I. Scott MacKenzie,1991
Abigail Sellen,1991
William Buxton,1991
Bernd Fröhlich,2000
John Plate,2000
Rajalakshmi Nandakumar,2016
Vikram Iyer,2016
Desney S. Tan,2016
Shyamnath Gollakota,2016
Marek Bell,2006
Matthew Chalmers,2006
Louise Barkhuus,2006
Malcolm Hall,2006
Scott Sherwood,2006
Paul Tennent,2006
Barry Brown,2006
Duncan Rowland,2006
Steve Benford,2006
Mauricio Capra,2006
Alastair Hampshire,2006
A. M. Kidd,1994
Julie Rico,2010
Stephen Brewster,2010
Abigail Sellen,2007
Andrew M. Fogg,2007
Mike Aitken,2007
Steve Hodges,2007
Carsten Rother,2007
Ken Wood,2007
Maryam Kamvar,2006
Shumeet Baluja,2006
R. L. Potter,1988
Linda J. Weldon,1988
Ben Shneiderman,1988
Munehiko Sato,2012
Ivan Poupyrev,2012
Chris Harrison,2012
Scott E. Hudson,2003
James Fogarty,2003
Christopher G. Atkeson,2003
Daniel Avrahami,2003
Jodi Forlizzi,2003
Sara Kiesler,2003
Johnny Lee,2003
Jie Yang,2003
John C. Tang,2001
Nicole Yankelovich,2001
James Begole,2001
Max Van Kleek,2001
Francis F. Li,2001
Janak Bhalodia,2001
Rudolph P. Darken,1996
John L. Sibert,1996
Jonathan Grudin,1990
Peter Tolmie,2002
James Pycock,2002
Tim Diggins,2002
Allan MacLean,2002
Alain Karsenty,2002
Blase Ur,2014
Elyse McManus,2014
Melwyn Pak Yong Ho,2014
Michael L. Littman,2014
Mahdi Azmandian,2016
Mark Hancock,2016
Hrvoje Benko,2016
Eyal Ofek,2016
Andrew D. Wilson,2016
Amanda Purington,2017
Jessie G. Taft,2017
Shruti Sannon,2017
Natalya N. Bazarova,2017
Samuel Hardman Taylor,2017
Debby Hindus,2001
Scott Mainwaring,2001
Nicole Leduc,2001
Anna E. V. Hagström,2001
Oliver Bayley,2001
Scott A. Brave,1997
Andrew Dahley,1997
David Kirk,2006
Abigail Sellen,2006
Carsten Rother,2006
Ken Wood,2006
Anbang Xu,2017
Zhe Liu,2017
Yufan Guo,2017
Vibha Singhal Sinha,2017
Rama Akkiraju,2017
Christopher Andrews,2010
Alex Endert,2010
Chris North,2010
René F. Kizilcec,2016
Björn Hartmann,2010
Daniel MacDougall,2010
Joel Brandt,2010
Scott R. Klemmer,2010
Wendy E. Mackay,1991
B. J. Fogg,2003
Jeff Sauro,2009
Joseph S. Dumas,2009
Marilyn Mantei,1991
Ronald M. Baecker,1991
Abigail Sellen,1991
William Buxton,1991
Thomas Milligan,1991
Barry Wellman,1991
George W. Furnas,1995
Benjamin B. Bederson,1995
Shaowen Bardzell,2011
Jeffrey Bardzell,2011
Colin Ware,1986
Harutune H. Mikaelian,1986
Napa Sae-Bae,2012
Kowsar Ahmed,2012
Katherine Isbister,2012
Nasir Memon,2012
Laurence Nigay,1993
Joëlle Coutaz,1993
Scott Bateman,2010
Regan L. Mandryk,2010
Carl Gutwin,2010
Aaron Genest,2010
David McDine,2010
Christopher Brooks,2010
Martin Weigel,2015
Tong Lu,2015
Gilles Bailly,2015
Antti Oulasvirta,2015
Carmel Majidi,2015
Jürgen Steimle,2015
Saeideh Bakhshi,2014
David A. Shamma,2014
Eric Gilbert,2014
Claire-Marie Karat,1992
Robert E. Campbell,1992
Tarra Fiegel,1992
Jacob Biehl,2007
Mary Czerwinski,2007
Greg Smith,2007
George S. Robertson,2007
William Gaver,1992
Thomas M. Moran,1992
Allan MacLean,1992
Lennart Lövstrand,1992
Paul Dourish,1992
Kathleen Carter,1992
William Buxton,1992
Brid O'Conaill,1995
David Frohlich,1995
Renaud Blanch,2004
Yves Guiard,2004
Michel Beaudouin-Lafon,2004
Hiroshi Ishii,1999
Craig Wisneski,1999
Julian Orbanes,1999
Ben Chun,1999
Joseph A. Paradiso,1999
Jacob O. Wobbrock,2005
Htet Aung,2005
Brandon Rothrock,2005
Brad A. Myers,2005
Ali Israr,2011
Ivan Poupyrev,2011
Kathrin Gerling,2012
Ian J. Livingston,2012
Lennart E. Nacke,2012
Regan L. Mandryk,2012
Nicolas Ducheneaut,2007
Nick Yee,2007
Eric S. Nickell,2007
Robert B. Moore,2007
Shaun K. Kane,2011
Jacob O. Wobbrock,2011
Richard E. Ladner,2011
Pär-Anders Albinsson,2003
Shumin Zhai,2003
Johnny Accot,2002
Shumin Zhai,2002
Gordon Kurtenbach,1994
William Buxton,1994
Krist Wongsuphasawat,2011
John James Gómez,2011
Catherine Plaisant,2011
Taowei Wang,2011
Meirav Taieb-Maimon,2011
Ben Shneiderman,2011
Christian Heath,1991
